year,text
Dec 2025, -- Invited as jury at 25 Fall Final Review, IAAC Master in Advanced Computational Design for Architecture.
Aug 2025, -- Moderate a Panel: Modeling Speculative Infrastructures, Playing Models AI Symposium.
May 2025, -- Appointed Special faculty at the School of Architecture, Carnegie Mellon University.
April 2025, -- Invited talk "Digital Agency and Interfaces", Texas Tech University.
April 2025, -- Exhibited Project "The Domestic Game- Automa-vision", Collaboration with Nero He, Texas Tech University.
March 2025, -- Presented Paper "Customize3DForm - Introducing human subjectivity to objective objects using text-based generative pipe-
line", CAADRIA Tokyo.
Dec 2024, -- Invited as one of the Featured Designers at Taiwan Design Week, Collaboration with M.Casey Rehm.
Aug 2024, -- Appointed Visiting Assistant Professor at the School of Architecture, Carnegie Mellon University.


